akc_id	type	TRA_chain	TRB_chain
iedb_receptor:21717	AlphaBetaTCR		iedb_receptor:21717-beta
iedb_receptor:21718	AlphaBetaTCR		iedb_receptor:21718-beta
iedb_receptor:21719	AlphaBetaTCR		iedb_receptor:21719-beta
iedb_receptor:21720	AlphaBetaTCR		iedb_receptor:21720-beta
iedb_receptor:21721	AlphaBetaTCR		iedb_receptor:21721-beta
iedb_receptor:21722	AlphaBetaTCR		iedb_receptor:21722-beta
iedb_receptor:21723	AlphaBetaTCR		iedb_receptor:21723-beta
iedb_receptor:21724	AlphaBetaTCR		iedb_receptor:21724-beta
iedb_receptor:21725	AlphaBetaTCR		iedb_receptor:21725-beta
iedb_receptor:21726	AlphaBetaTCR		iedb_receptor:21726-beta
iedb_receptor:21727	AlphaBetaTCR		iedb_receptor:21727-beta
iedb_receptor:21728	AlphaBetaTCR		iedb_receptor:21728-beta
iedb_receptor:21729	AlphaBetaTCR		iedb_receptor:21729-beta
iedb_receptor:21730	AlphaBetaTCR		iedb_receptor:21730-beta
iedb_receptor:21731	AlphaBetaTCR		iedb_receptor:21731-beta
iedb_receptor:21732	AlphaBetaTCR		iedb_receptor:21732-beta
iedb_receptor:21733	AlphaBetaTCR		iedb_receptor:21733-beta
iedb_receptor:21734	AlphaBetaTCR		iedb_receptor:21734-beta
iedb_receptor:21735	AlphaBetaTCR		iedb_receptor:21735-beta
iedb_receptor:21736	AlphaBetaTCR		iedb_receptor:21736-beta
iedb_receptor:21737	AlphaBetaTCR		iedb_receptor:21737-beta
iedb_receptor:21738	AlphaBetaTCR		iedb_receptor:21738-beta
iedb_receptor:21739	AlphaBetaTCR		iedb_receptor:21739-beta
iedb_receptor:21740	AlphaBetaTCR		iedb_receptor:21740-beta
iedb_receptor:21741	AlphaBetaTCR		iedb_receptor:21741-beta
iedb_receptor:21742	AlphaBetaTCR		iedb_receptor:21742-beta
iedb_receptor:21743	AlphaBetaTCR		iedb_receptor:21743-beta
iedb_receptor:21744	AlphaBetaTCR		iedb_receptor:21744-beta
iedb_receptor:21745	AlphaBetaTCR		iedb_receptor:21745-beta
iedb_receptor:21746	AlphaBetaTCR		iedb_receptor:21746-beta
iedb_receptor:21747	AlphaBetaTCR		iedb_receptor:21747-beta
iedb_receptor:21748	AlphaBetaTCR		iedb_receptor:21748-beta
iedb_receptor:21749	AlphaBetaTCR		iedb_receptor:21749-beta
iedb_receptor:21750	AlphaBetaTCR		iedb_receptor:21750-beta
iedb_receptor:21751	AlphaBetaTCR		iedb_receptor:21751-beta
iedb_receptor:21752	AlphaBetaTCR		iedb_receptor:21752-beta
iedb_receptor:21753	AlphaBetaTCR		iedb_receptor:21753-beta
iedb_receptor:21754	AlphaBetaTCR		iedb_receptor:21754-beta
iedb_receptor:21755	AlphaBetaTCR		iedb_receptor:21755-beta
iedb_receptor:21756	AlphaBetaTCR		iedb_receptor:21756-beta
iedb_receptor:21757	AlphaBetaTCR		iedb_receptor:21757-beta
iedb_receptor:21758	AlphaBetaTCR		iedb_receptor:21758-beta
iedb_receptor:21759	AlphaBetaTCR		iedb_receptor:21759-beta
iedb_receptor:21760	AlphaBetaTCR		iedb_receptor:21760-beta
iedb_receptor:21761	AlphaBetaTCR		iedb_receptor:21761-beta
iedb_receptor:21762	AlphaBetaTCR		iedb_receptor:21762-beta
iedb_receptor:21763	AlphaBetaTCR		iedb_receptor:21763-beta
iedb_receptor:21764	AlphaBetaTCR		iedb_receptor:21764-beta
iedb_receptor:21765	AlphaBetaTCR		iedb_receptor:21765-beta
iedb_receptor:21766	AlphaBetaTCR		iedb_receptor:21766-beta
iedb_receptor:21767	AlphaBetaTCR		iedb_receptor:21767-beta
iedb_receptor:21768	AlphaBetaTCR		iedb_receptor:21768-beta
