immunespace_id	id_type	akc_id
BS1251958	specimen	c2cbf9c2-4f0a-448a-ae14-b339a19b1493
BS1251959	specimen	37803c2f-1b76-495f-bc84-634a9a57da70
BS1251960	specimen	a148387a-f762-4c71-ada8-c4cf25bed824
BS1251961	specimen	4e61421b-1db0-4d91-86a1-63a6ce27d853
BS1251962	specimen	566ef008-26d4-4a93-89ba-e2edd84a5fbf
BS1251963	specimen	6db9bd63-6aba-4496-a58a-4cf0384a68bd
BS1251964	specimen	a8811efb-43b3-41e7-bf60-61ffe04c3b1f
BS1251965	specimen	a156cd81-b13b-498f-8cea-9eaeef62b61c
BS1251966	specimen	199af62e-4a31-47bb-83ba-00ea4cfd9fbf
BS1251967	specimen	50598d87-65a1-4a96-8767-93acc1763d1f
BS1251968	specimen	c87568a7-29e3-42b6-9fb2-a81b748a8899
BS1251969	specimen	0a501b62-5941-4f61-9b9c-1f4a1fc59a8c
BS1251970	specimen	3c7839e0-fd1f-419f-9ea3-c88d8bbbda8d
BS1251971	specimen	fb3dd752-c87e-4e64-83a3-9f5114918d44
BS1251972	specimen	b30ef04c-d806-43e5-8958-49427c5a480d
BS1251973	specimen	166fc880-43bd-4178-936a-06d11396eb66
BS1251974	specimen	88db86af-805f-4373-b75a-0de1541d49b1
BS1251975	specimen	f85ebe81-54ed-4f99-a58d-3979d1d60c85
